ID_Hotel,Hotel_Name,Location,Price_per_Night_USD,Rating,Avaliação_Clientes,Energia_Renovável_%,Gestão_Resíduos_Índice,Consumo_Água_por_Hóspede,Possui_Selo_Sustentável,Distância_do_Centro_km,Região,Índice_Sustentabilidade_Global
1,Hotel EcoStay 1,Rome, Italy,330,4,4.0,82,94,282,False,15.1,Europa,0.72
2,Hotel EcoStay 2,Paris, France,176,2,4.9,29,57,209,True,4.7,Europa,0.45
3,Hotel EcoStay 3,Tokyo, Japan,51,2,2.6,90,78,249,True,24.3,Ásia,0.73
4,Hotel EcoStay 4,Cape Town, South Africa,84,5,3.7,100,70,214,True,1.8,África,0.79
5,Hotel EcoStay 5,Rio de Janeiro, Brazil,24,5,4.5,8,72,209,False,11.1,América do Sul,0.43
6,Hotel EcoStay 6,Rome, Italy,322,2,4.8,35,69,183,False,10.7,Europa,0.49
7,Hotel EcoStay 7,Madrid, Spain,149,4,2.6,17,63,241,True,23.2,Europa,0.40
8,Hotel EcoStay 8,Paris, France,268,4,4.9,84,99,161,False,14.8,Europa,0.81
9,Hotel EcoStay 9,Berlin, Germany,281,4,3.2,28,34,124,True,24.7,Europa,0.46
10,Hotel EcoStay 10,Paris, France,174,3,2.5,10,27,242,False,15.2,Europa,0.29
11,Hotel EcoStay 11,Tokyo, Japan,260,4,4.8,72,91,91,True,1.8,Ásia,0.85
12,Hotel EcoStay 12,Rome, Italy,100,3,4.3,85,54,272,True,24.3,Europa,0.69
13,Hotel EcoStay 13,Cape Town, South Africa,286,4,3.1,13,46,216,False,3.0,África,0.42
14,Hotel EcoStay 14,Cape Town, South Africa,92,5,3.7,95,23,230,False,13.6,África,0.63
15,Hotel EcoStay 15,Rio de Janeiro, Brazil,8,2,3.2,85,47,145,False,7.5,América do Sul,0.66
16,Hotel EcoStay 16,Nairobi, Kenya,163,4,3.0,83,49,269,False,20.2,África,0.61
17,Hotel EcoStay 17,Berlin, Germany,260,5,3.2,26,81,200,False,21.5,Europa,0.56
18,Hotel EcoStay 18,Rome, Italy,250,4,3.5,36,70,251,True,4.4,Europa,0.52
19,Hotel EcoStay 19,Paris, France,288,4,2.7,57,71,91,True,12.5,Europa,0.73
20,Hotel EcoStay 20,Lisbon, Portugal,130,3,2.6,1,21,299,True,7.1,Europa,0.24
21,Hotel EcoStay 21,Lisbon, Portugal,170,3,3.7,31,89,239,False,2.2,Europa,0.60
